headline,date,textblob_score,vader_score,average_score,sentiment_category
"

                                Sea of red in crypto: Celestia, WIF, Ethena, and Sui lead losses                            
",16/08/2024,0.0,-0.4019,-0.20095,Slightly Bearish
"

                                Chart of the week: Aave and Sui predictions hit the mark                            
",14/08/2024,0.0,0.0,0.0,Neutral
"

                                Malaysian police pursuing four suspects after $1.2m crypto kidnapping ransom                            
",13/08/2024,0.0,-0.34,-0.17,Neutral
"

                                Sui surges 83% in 7 day trading, short traders expect downfall                            
",12/08/2024,0.0,0.0,0.0,Neutral
"

                                Chart of the week: a closer look at SUI’s price action                            
",09/08/2024,0.1,0.0,0.05,Neutral
"

                                Grayscale launches crypto investment trusts for SUI and TAO                            
",07/08/2024,0.0,0.4767,0.23835,Slightly Bullish
"

                                Morpho leads crypto VC week with $50m round; DuelNow, Daylight follow suit                            
",03/08/2024,-0.2,0.0,-0.1,Neutral
"

                                NAVI Pro launch: A new generation of liquidity management on Sui                            
",02/08/2024,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                How the SEC’s revised lawsuit against Binance could impact crypto                            
",01/08/2024,-0.1,-0.2263,-0.16315000000000002,Neutral
"

                                Unexpected twist: SEC became a defendant in the NFT classification lawsuit                            
",30/07/2024,0.0,-0.2263,-0.11315,Neutral
"

                                SEC pauses securities allegations against Solana, Cardano and Polygon in Binance lawsuit                            
",30/07/2024,-0.1,0.0772,-0.0114,Neutral
"

                                Veteran investors are accumulating Apecoin, Galaxy Fox, and Sui                            
",21/07/2024,0.0,0.0,0.0,Neutral
"

                                Plaintiffs renewed the lawsuit against Tether and Bitfinex once again                            
",16/07/2024,0.0,-0.2263,-0.11315,Neutral
"

                                Bitcoin miner Northern Data files motion to dismiss ex-directors lawsuit                            
",16/07/2024,0.0,-0.2263,-0.11315,Neutral
"

                                US judge approves expedited schedule for Consensys suit against SEC                            
",02/07/2024,-0.1,0.4019,0.15094999999999997,Neutral
"

                                ‘Roaring Kitty’ faces class-action lawsuit over alleged GameStop stock manipulation                            
",01/07/2024,0.0,-0.4767,-0.23835,Slightly Bearish
"

                                Binance CEO projects Bitcoin to surpass $80,000 by 2025; these cryptos may follow suit                            
",24/06/2024,0.0,0.0,0.0,Neutral
"

                                Analyst predicts $200 surge for XRP; this new token may follow suit                            
",23/06/2024,0.13636363636363635,0.0,0.06818181818181818,Neutral
"

                                Judge: Meta must face lawsuit over Facebook crypto ads                            
",19/06/2024,0.0,-0.2263,-0.11315,Neutral
